uid,pro_num,ac_rate,repeat_num,con_num,pass_pct
U151345,2,0.5,4.0,0.0,0.0
U151357,12,0.5365853658536586,3.4166666666666665,2.0,0.875
U151367,1,0.5,2.0,1.0,0.4
U151377,65,0.4423076923076923,2.4,17.0,0.45893812070282664
U151405,5,0.7,2.0,0.0,0.0
U151413,12,0.2553191489361702,3.9166666666666665,15.0,0.6068253968253968
U151418,4,1.0,1.0,17.0,0.5150007371369602
U151470,6,0.6666666666666666,1.5,5.0,1.0
U151545,4,0.5714285714285714,1.75,4.0,1.0
U151555,3,0.5714285714285714,2.3333333333333335,0.0,0.0
U151558,16,0.46875,2.0,10.0,0.41678571428571426
U151592,22,0.34615384615384615,2.3636363636363638,16.0,0.7745535714285714
U151596,66,0.5302013422818792,2.257575757575758,16.0,0.7064732142857143
U151606,54,0.3835616438356164,2.7037037037037037,17.0,0.35719378660555134
U151609,2,0.16666666666666666,3.0,15.0,0.5529365079365078
U151618,3,0.0,2.6666666666666665,16.0,0.6785714285714286
U151633,29,0.34782608695652173,2.3793103448275863,12.0,0.5054563492063492
U151637,39,0.41975308641975306,2.076923076923077,15.0,0.6353968253968253
U151646,4,0.4,2.5,2.0,0.21666666666666667
U151679,34,0.4117647058823529,2.0,12.0,0.24739565989565984
U151689,60,0.42657342657342656,2.3833333333333333,14.0,0.5002319109461967
U151701,36,0.35802469135802467,2.25,17.0,0.44336643748408455
U151721,64,0.5161290322580645,1.9375,16.0,0.7127976190476191
U151731,29,0.44871794871794873,2.689655172413793,14.0,0.20929189857761285
U151757,36,0.45161290322580644,2.5833333333333335,16.0,0.7351190476190477
U151770,8,0.38095238095238093,2.625,3.0,0.6842105263157895
U151778,4,0.6666666666666666,1.5,10.0,0.3833333333333333
U151781,25,0.2549019607843137,4.08,12.0,0.3280407092907092
U151806,32,0.7619047619047619,1.3125,9.0,0.3968253968253968
U151833,1,0.0,1.0,0.0,0.0
U151841,20,0.5102040816326531,2.45,4.0,0.5657894736842105
U151876,1,0.3076923076923077,13.0,0.0,0.0
U151901,54,0.23958333333333334,3.5555555555555554,14.0,0.3621152656866942
U151954,19,0.46808510638297873,2.473684210526316,3.0,0.4166666666666667
U151981,6,0.2857142857142857,3.5,3.0,1.0
U152002,10,0.3684210526315789,1.9,8.0,0.4575892857142857
U152021,42,0.2867647058823529,3.238095238095238,17.0,0.24368474662592313
U152072,3,0.07407407407407407,9.0,1.0,0.2
U152133,6,0.4375,2.6666666666666665,3.0,1.0
U152176,1,1.0,1.0,5.0,0.8
U152262,3,0.75,1.3333333333333333,0.0,0.0
U152316,17,0.4722222222222222,2.1176470588235294,16.0,0.20587121212121212
U152321,25,0.16842105263157894,3.8,17.0,0.20343773873185636
U152336,1,0.0,4.0,2.0,0.1875
U152393,31,0.37681159420289856,2.225806451612903,18.0,0.4198773448773449
U152397,30,0.3373493975903614,2.7666666666666666,11.0,0.4844155844155844
U152414,1,0.0,1.0,0.0,0.0
U152439,8,0.46153846153846156,1.625,2.0,1.0
U152446,79,0.49696969696969695,2.088607594936709,13.0,0.5739094239094239
U152464,34,0.4411764705882353,2.0,15.0,0.1853102453102453
